case_id,merchant_name,mcc_category,archetype,merchant_tenure_days,avg_daily_txn_30d,volume_spike_ratio,refund_rate_30d,chargeback_rate_90d,kyc_completeness_score,bank_account_changed_flag,days_since_bank_change,customer_complaint_count_30d,device_ip_diversity_score,night_txn_ratio,is_festive_period,prior_flags_count,prior_flags_confirmed_fraud,avg_ticket_size,ticket_size_change_ratio,label_is_fraud
CASE00000,"Rodriguez, Figueroa and Sanchez",education,account_takeover,708,5.0,2.89,0.043,0.033,0.9,1,0,4,0.67,0.32,0,0,0,456.0,1.04,1
CASE00001,Doyle Ltd,home_decor,account_takeover,298,71.2,1.65,0.063,0.0154,0.83,1,3,4,0.78,0.36,0,0,0,847.0,1.02,1
CASE00002,"Mcclain, Miller and Henderson",grocery,organic_growth,400,155.2,1.22,0.056,0.0033,0.93,0,350,0,0.17,0.02,0,0,0,999.0,1.01,0
CASE00003,Davis and Sons,beauty_cosmetics,card_testing_mule,8,97.1,3.15,0.05,0.104,0.54,0,306,0,0.67,0.27,0,1,1,90.0,0.57,0
CASE00004,"Guzman, Hoffman and Baldwin",food_delivery,organic_growth,400,134.3,1.29,0.011,0.0037,0.98,0,502,0,0.46,0.07,0,0,0,872.0,1.02,0
CASE00005,"Gardner, Robinson and Lawrence",food_delivery,festive_spike,303,158.1,3.66,0.078,0.0009,0.89,0,257,0,0.59,0.1,1,0,0,50.0,1.03,0
CASE00006,Blake and Sons,handicrafts_d2c,card_testing_mule,24,19.5,7.74,0.039,0.0784,0.53,0,275,1,0.78,0.24,0,3,1,215.0,0.47,1
CASE00007,"Henderson, Ramirez and Lewis",grocery,bank_account_update,491,186.4,1.23,0.071,0.0057,0.85,1,3,0,0.47,0.07,0,0,0,1385.0,0.89,1
CASE00008,Garcia-James,food_delivery,bank_account_update,660,117.1,1.07,0.016,0.0015,0.82,1,9,0,0.3,0.06,0,0,0,1201.0,1.05,0
CASE00009,Abbott-Munoz,electronics,festive_spike,446,271.0,4.62,0.074,0.0039,0.88,0,749,0,0.42,0.04,1,0,0,50.0,0.98,0
CASE00010,Blair PLC,beauty_cosmetics,organic_growth,400,230.2,1.01,0.017,0.0025,0.94,0,777,0,0.28,0.12,0,0,0,650.0,0.99,0
CASE00011,Dudley Group,food_delivery,organic_growth,836,141.1,1.27,0.04,0.004,0.96,0,327,0,0.51,0.16,0,0,0,495.0,0.89,0
CASE00012,Arnold Ltd,food_delivery,card_testing_mule,30,123.1,3.78,0.038,0.0334,0.55,0,800,0,0.74,0.31,0,3,1,42.0,0.66,1
CASE00013,"Mcclure, Ward and Lee",food_delivery,account_takeover,328,78.2,2.81,0.016,0.0297,0.88,1,2,2,0.58,0.21,0,0,0,331.0,0.95,1
CASE00014,Williams and Sons,grocery,organic_growth,440,217.0,1.17,0.028,0.0013,0.96,0,261,0,0.38,0.05,0,0,0,1227.0,1.02,0
CASE00015,Galloway-Wyatt,fashion_apparel,festive_spike,180,208.9,4.9,0.093,0.0058,0.99,0,463,1,0.38,0.11,1,1,0,50.0,1.16,0
CASE00016,James Group,handicrafts_d2c,organic_growth,400,151.5,1.17,0.012,0.0022,0.98,0,398,1,0.31,0.12,0,1,0,518.0,0.98,1
CASE00017,"Flowers, Martin and Kelly",electronics,festive_spike,180,31.1,4.71,0.065,0.008,0.89,0,740,0,0.43,0.08,1,0,0,761.0,1.14,0
CASE00018,"Adams, Zuniga and Wong",fashion_apparel,bank_account_update,733,37.1,1.17,0.019,0.0069,0.99,1,5,0,0.24,0.05,0,1,0,971.0,0.98,0
CASE00019,"Reid, Ferguson and Sanchez",home_decor,account_takeover,553,140.9,1.97,0.082,0.0106,0.91,1,2,1,0.62,0.31,0,0,0,467.0,0.84,0
CASE00020,Gray-Mayo,handicrafts_d2c,account_takeover,650,183.8,1.5,0.04,0.0,0.92,1,4,1,0.64,0.41,0,0,0,459.0,1.07,0
CASE00021,"Watts, Robinson and Nguyen",travel_hospitality,bank_account_update,300,5.0,0.96,0.088,0.0067,0.95,1,1,1,0.27,0.08,0,0,0,1116.0,1.03,0
CASE00022,Perez Inc,electronics,festive_spike,1053,207.3,2.79,0.039,0.0113,0.88,0,326,1,0.14,0.11,1,0,0,1259.0,0.76,0
CASE00023,Morales-Jones,travel_hospitality,account_takeover,485,162.4,2.54,0.048,0.0152,0.92,1,4,1,0.57,0.48,0,0,0,444.0,0.99,1
CASE00024,"Walter, Edwards and Rios",travel_hospitality,festive_spike,507,131.4,4.44,0.097,0.01,1.0,0,832,0,0.18,0.07,1,1,0,1599.0,0.88,0
CASE00025,Wilkerson-Day,handicrafts_d2c,account_takeover,294,43.1,1.47,0.03,0.0285,0.92,1,4,0,0.44,0.43,0,1,0,545.0,1.05,0
CASE00026,Baker and Sons,travel_hospitality,card_testing_mule,60,207.1,4.14,0.041,0.0316,0.69,0,220,0,0.75,0.3,0,0,0,20.0,0.44,0
CASE00027,"Hoffman, Baker and Richards",travel_hospitality,bank_account_update,317,156.9,1.04,0.043,0.0034,0.74,1,3,0,0.19,0.11,0,0,0,452.0,1.02,0
CASE00028,"Ross, Robinson and Bright",saas_subscription,card_testing_mule,32,88.6,5.12,0.056,0.0887,0.84,0,368,0,0.73,0.26,0,2,0,293.0,0.41,1
CASE00029,"Snyder, Campos and Callahan",travel_hospitality,card_testing_mule,30,62.2,2.51,0.036,0.0285,0.35,0,278,0,0.78,0.29,0,1,0,243.0,0.31,0
CASE00030,Burton Ltd,beauty_cosmetics,bank_account_update,300,207.7,0.65,0.055,0.0004,0.96,1,1,0,0.35,0.07,0,1,0,1111.0,1.08,0
CASE00031,Carlson-Cruz,food_delivery,festive_spike,795,151.0,4.6,0.127,0.005,0.95,0,518,0,0.48,0.14,1,0,0,1142.0,1.06,1
