case_id,merchant_name,mcc_category,archetype,merchant_tenure_days,avg_daily_txn_30d,volume_spike_ratio,refund_rate_30d,chargeback_rate_90d,kyc_completeness_score,bank_account_changed_flag,days_since_bank_change,customer_complaint_count_30d,device_ip_diversity_score,night_txn_ratio,is_festive_period,prior_flags_count,prior_flags_confirmed_fraud,avg_ticket_size,ticket_size_change_ratio,label_is_fraud,risk_score,decision_tier,naive_freeze
CASE00000,"Rodriguez, Figueroa and Sanchez",education,account_takeover,708,5.0,2.89,0.043,0.033,0.9,1,0,4,0.67,0.32,0,0,0,456.0,1.04,1,0.8985026,escalate,1
CASE00001,Doyle Ltd,home_decor,account_takeover,298,71.2,1.65,0.063,0.0154,0.83,1,3,4,0.78,0.36,0,0,0,847.0,1.02,1,0.7941974,escalate,1
CASE00002,"Mcclain, Miller and Henderson",grocery,organic_growth,400,155.2,1.22,0.056,0.0033,0.93,0,350,0,0.17,0.02,0,0,0,999.0,1.01,0,0.014514652,auto_clear,0
CASE00003,Davis and Sons,beauty_cosmetics,card_testing_mule,8,97.1,3.15,0.05,0.104,0.54,0,306,0,0.67,0.27,0,1,1,90.0,0.57,0,0.8770522,escalate,1
CASE00004,"Guzman, Hoffman and Baldwin",food_delivery,organic_growth,400,134.3,1.29,0.011,0.0037,0.98,0,502,0,0.46,0.07,0,0,0,872.0,1.02,0,0.045676045,auto_clear,0
CASE00005,"Gardner, Robinson and Lawrence",food_delivery,festive_spike,303,158.1,3.66,0.078,0.0009,0.89,0,257,0,0.59,0.1,1,0,0,50.0,1.03,0,0.056282192,auto_clear,1
CASE00006,Blake and Sons,handicrafts_d2c,card_testing_mule,24,19.5,7.74,0.039,0.0784,0.53,0,275,1,0.78,0.24,0,3,1,215.0,0.47,1,0.9953033,escalate,1
CASE00007,"Henderson, Ramirez and Lewis",grocery,bank_account_update,491,186.4,1.23,0.071,0.0057,0.85,1,3,0,0.47,0.07,0,0,0,1385.0,0.89,1,0.1722815,auto_clear,1
CASE00008,Garcia-James,food_delivery,bank_account_update,660,117.1,1.07,0.016,0.0015,0.82,1,9,0,0.3,0.06,0,0,0,1201.0,1.05,0,0.014744045,auto_clear,1
CASE00009,Abbott-Munoz,electronics,festive_spike,446,271.0,4.62,0.074,0.0039,0.88,0,749,0,0.42,0.04,1,0,0,50.0,0.98,0,0.08285481,auto_clear,1
CASE00010,Blair PLC,beauty_cosmetics,organic_growth,400,230.2,1.01,0.017,0.0025,0.94,0,777,0,0.28,0.12,0,0,0,650.0,0.99,0,0.038787633,auto_clear,0
CASE00011,Dudley Group,food_delivery,organic_growth,836,141.1,1.27,0.04,0.004,0.96,0,327,0,0.51,0.16,0,0,0,495.0,0.89,0,0.009470407,auto_clear,0
CASE00012,Arnold Ltd,food_delivery,card_testing_mule,30,123.1,3.78,0.038,0.0334,0.55,0,800,0,0.74,0.31,0,3,1,42.0,0.66,1,0.8585461,escalate,1
CASE00013,"Mcclure, Ward and Lee",food_delivery,account_takeover,328,78.2,2.81,0.016,0.0297,0.88,1,2,2,0.58,0.21,0,0,0,331.0,0.95,1,0.88215625,escalate,1
CASE00014,Williams and Sons,grocery,organic_growth,440,217.0,1.17,0.028,0.0013,0.96,0,261,0,0.38,0.05,0,0,0,1227.0,1.02,0,0.027740601,auto_clear,0
